375.399: [GC 1157880K->809256K(1435456K), 0.1730290 secs]
376.183: [GC 1142376K->813000K(1439040K), 0.2039340 secs]
377.010: [GC 1158728K->826184K(1439488K), 0.3198290 secs]
377.919: [GC 1171912K->910648K(1394880K), 1.2719740 secs]
379.957: [GC 1213304K->1012768K(1424512K), 1.9078040 secs]
382.538: [GC 1315424K->1084704K(1291648K), 1.6708090 secs]
384.210: [Full GC 1084704K->530048K(1291648K), 10.4782800 secs]
395.127: [GC 699840K->589792K(1358080K), 0.6702560 secs]
396.172: [GC 759584K->648768K(1358080K), 0.9134860 secs]
397.371: [GC 818560K->634424K(1358080K), 0.8746570 secs]
398.564: [GC 804216K->638152K(1358080K), 0.2678590 secs]
399.224: [GC 807944K->642072K(1227392K), 0.2896870 secs]
399.914: [GC 811864K->627944K(1356992K), 0.2783180 secs]
400.486: [GC 802344K->690016K(1352384K), 0.9512790 secs]
401.756: [GC 864416K->715504K(1356864K), 1.2553120 secs]
403.458: [GC 908592K->791904K(1358976K), 1.2637800 secs]
405.118: [GC 984992K->813856K(1363968K), 1.1794580 secs]
406.681: [GC 1029536K->817320K(1372736K), 0.6329160 secs]
407.786: [GC 1033000K->820184K(1377856K), 0.2939180 secs]
408.521: [GC 1055576K->820808K(1385152K), 0.3626860 secs]
409.522: [GC 1056200K->821176K(1384576K), 0.3295630 secs]
410.352: [GC 1072376K->815464K(1392064K), 0.2395750 secs]
411.205: [GC 1066664K->810520K(1396032K), 0.1824850 secs]
411.883: [GC 1078744K->818472K(1402560K), 0.2891390 secs]
412.632: [GC 1086696K->807928K(1404672K), 0.2438220 secs]
413.410: [GC 1090296K->827424K(1409280K), 0.4080960 secs]
414.390: [GC 1109792K->809360K(1415872K), 0.2394430 secs]
415.250: [GC 1108304K->823008K(1416768K), 0.3794060 secs]
416.287: [GC 1121952K->819216K(1424384K), 0.2844360 secs]
417.177: [GC 1134992K->809760K(1424128K), 0.2453900 secs]
417.977: [GC 1125536K->817264K(1432960K), 0.2877090 secs]
418.902: [GC 1149296K->820928K(1434176K), 0.3767890 secs]
419.866: [GC 1152960K->805880K(1442560K), 0.1600120 secs]
420.618: [GC 1150520K->819560K(1441216K), 0.2452190 secs]
421.454: [GC 1164200K->813816K(1447104K), 0.2493460 secs]
422.367: [GC 1168312K->870600K(1444480K), 0.8131670 secs]
423.751: [GC 1225096K->1054320K(1288320K), 2.2661010 secs]
426.017: [Full GC 1054320K->504889K(1288320K), 10.4573440 secs]
436.912: [GC 691321K->586041K(1366400K), 0.7427580 secs]
438.020: [GC 772473K->622057K(1350272K), 1.1731280 secs]
439.565: [GC 811049K->641801K(1359616K), 0.6367910 secs]
440.609: [GC 830793K->643193K(1363264K), 0.2962140 secs]
441.259: [GC 851961K->641969K(1371328K), 0.2669330 secs]
441.946: [GC 850737K->639873K(1371520K), 0.2283770 secs]
442.566: [GC 865601K->632401K(1379456K), 0.1947780 secs]
443.145: [GC 858129K->698593K(1384064K), 0.8529900 secs]
444.395: [GC 932257K->734945K(1390016K), 1.1509200 secs]
446.074: [GC 968609K->825505K(1376640K), 1.2254650 secs]
447.690: [GC 1047777K->815841K(1384320K), 0.8612710 secs]
449.037: [GC 1038113K->824913K(1372608K), 0.2853450 secs]
449.720: [GC 1049553K->835489K(1379648K), 0.3330460 secs]
450.430: [GC 1060129K->826953K(1381376K), 0.3175120 secs]
451.221: [GC 1069961K->815641K(1386560K), 0.2209860 secs]
451.895: [GC 1058649K->839305K(1385856K), 0.3243980 secs]
452.757: [GC 1101513K->825081K(1395456K), 0.2717250 secs]
453.454: [GC 1087289K->829097K(1398848K), 0.3164730 secs]
454.340: [GC 1113257K->813081K(1408128K), 0.1695950 secs]
455.072: [GC 1097241K->815921K(1414528K), 0.2173330 secs]
455.854: [GC 1116337K->830497K(1419456K), 0.2965500 secs]
456.832: [GC 1130913K->827761K(1418624K), 0.2791420 secs]
457.666: [GC 1141745K->814881K(1422592K), 0.2046890 secs]
458.480: [GC 1128865K->822289K(1428416K), 0.2477940 secs]
459.306: [GC 1153617K->824801K(1433984K), 0.2613780 secs]
460.235: [GC 1156129K->809841K(1439744K), 0.1654410 secs]
461.135: [GC 1154929K->821601K(1442496K), 0.2052880 secs]
461.921: [GC 1166689K->796281K(1447168K), 0.0441550 secs]
462.629: [GC 1149689K->798649K(1448064K), 0.0858850 secs]
