154.823: [GC 1097401K->678867K(1476928K), 0.1651290 secs]
156.040: [GC 1086355K->667593K(1476928K), 0.0667250 secs]
156.676: [GC 1075081K->672899K(1476928K), 0.0853730 secs]
157.374: [GC 1080387K->696758K(1476928K), 0.2001590 secs]
158.132: [GC 1104246K->667248K(1476928K), 0.0686930 secs]
158.911: [GC 1074736K->673005K(1476928K), 0.1079720 secs]
160.055: [GC 1080493K->750154K(1476928K), 0.5631410 secs]
161.412: [GC 1157642K->871392K(1476928K), 0.9723400 secs]
163.128: [GC 1278880K->896248K(1476928K), 0.4071490 secs]
164.488: [GC 1303736K->885606K(1476928K), 0.1463540 secs]
165.376: [GC 1293094K->873444K(1476928K), 0.0925090 secs]
166.177: [GC 1280932K->1008262K(1476928K), 0.8525560 secs]
168.032: [Full GC 1415750K->561860K(1476928K), 4.0149420 secs]
173.016: [GC 969348K->687971K(1476928K), 0.8748220 secs]
174.663: [GC 1095459K->696426K(1476928K), 0.3121080 secs]
175.987: [GC 1103914K->703091K(1476928K), 0.1663030 secs]
176.828: [GC 1110579K->689664K(1476928K), 0.0774580 secs]
177.520: [GC 1097152K->695657K(1476928K), 0.1112920 secs]
178.303: [GC 1103145K->701691K(1476928K), 0.1473100 secs]
179.187: [GC 1109179K->708662K(1476928K), 0.1891770 secs]
180.624: [GC 1116150K->697113K(1476928K), 0.1185700 secs]
181.418: [GC 1104601K->704040K(1476928K), 0.1642020 secs]
182.324: [GC 1111528K->710919K(1476928K), 0.1961920 secs]
183.281: [GC 1118407K->716905K(1476928K), 0.2505260 secs]
184.454: [GC 1124393K->705576K(1476928K), 0.1645760 secs]
185.366: [GC 1113064K->731643K(1476928K), 0.3108150 secs]
186.415: [GC 1139131K->849757K(1476928K), 0.9413670 secs]
188.276: [GC 1257245K->911249K(1476928K), 0.7718770 secs]
189.744: [GC 1318737K->931899K(1476928K), 0.3728350 secs]
190.897: [GC 1339387K->1012261K(1476928K), 0.6789100 secs]
192.491: [Full GC 1419749K->661379K(1476928K), 4.6238150 secs]
