356.061: [GC 1001013K->805130K(1502272K), 0.2578200 secs]
356.873: [GC 996809K->792413K(1502272K), 0.1769900 secs]
357.511: [GC 996893K->801027K(1502272K), 0.4376890 secs]
358.301: [GC 1005507K->870572K(1502272K), 1.2693670 secs]
359.616: [GC 888533K(1502272K), 0.0654730 secs]
360.100: [GC 1075052K->929543K(1502272K), 1.2270360 secs]
361.830: [GC 1134023K->990041K(1502272K), 1.0988400 secs]
363.423: [GC 1194521K->1015121K(1502272K), 0.6389110 secs]
364.512: [GC 1219601K->1120991K(1502272K), 1.7798700 secs]
366.765: [GC 1325471K->1247300K(1502272K), 2.2159790 secs]
372.272: [Full GC 1451780K->599542K(1502272K), 5.4981510 secs]
378.218: [GC 804022K->639702K(1502272K), 0.3856110 secs]
378.959: [GC 844182K->660442K(1502272K), 0.6860750 secs]
380.121: [GC 864922K->670499K(1502272K), 0.4162730 secs]
380.943: [GC 874979K->677430K(1502272K), 0.3670700 secs]
381.673: [GC 881910K->679661K(1502272K), 0.3026730 secs]
382.348: [GC 884141K->677394K(1502272K), 0.2836520 secs]
