516.322: [GC 907757K->569781K(1034880K), 0.5064740 secs]
517.975: [GC 880245K->574221K(1000512K), 0.4775420 secs]
519.601: [GC 884685K->578653K(1041664K), 0.4574320 secs]
521.180: [GC 886493K->583109K(981376K), 0.4244400 secs]
522.677: [GC 890949K->588685K(1040128K), 0.3328410 secs]
524.153: [GC 901645K->593073K(1035008K), 0.3593560 secs]
525.579: [GC 906033K->597553K(1045888K), 0.3231900 secs]
527.007: [GC 924849K->602433K(1043264K), 0.2396520 secs]
528.399: [GC 929729K->607093K(1054656K), 0.2395920 secs]
529.760: [GC 947765K->613141K(1053312K), 0.2020830 secs]
531.155: [GC 953813K->617853K(1059328K), 0.1912120 secs]
532.530: [GC 965757K->623093K(1058688K), 0.1523910 secs]
532.683: [Full GC 623093K->485948K(1122240K), 7.4777790 secs]
542.175: [GC 833852K->490236K(1125056K), 0.0841930 secs]
543.427: [GC 843516K->490252K(1124672K), 0.0855340 secs]
545.465: [GC 843532K->490252K(1127744K), 0.0364330 secs]
547.827: [GC 849804K->490284K(1127808K), 0.0224770 secs]
549.801: [GC 849836K->490284K(1129856K), 0.0251430 secs]
551.693: [GC 856940K->490284K(1130240K), 0.0402670 secs]
552.938: [GC 856940K->490284K(1134080K), 0.0295590 secs]
554.174: [GC 866796K->490252K(1134592K), 0.0332500 secs]
556.710: [GC 866764K->490316K(1139392K), 0.0328380 secs]
558.697: [GC 878028K->490316K(1139968K), 0.0238610 secs]
559.981: [GC 878028K->490316K(1145216K), 0.0236140 secs]
561.750: [GC 889740K->490316K(1145792K), 0.0273800 secs]
563.080: [GC 889740K->490316K(1151296K), 0.0348230 secs]
564.452: [GC 901452K->490316K(1151808K), 0.0292780 secs]
565.859: [GC 901452K->490284K(1157248K), 0.0463740 secs]
567.273: [GC 912620K->490284K(1157696K), 0.0417150 secs]
568.722: [GC 912620K->490332K(1162816K), 0.0252540 secs]
570.864: [GC 923100K->490308K(1163200K), 0.0323770 secs]
575.068: [GC 923076K->499116K(1169600K), 0.2251870 secs]
576.949: [GC 940588K->505620K(1168640K), 0.1792110 secs]
578.669: [GC 947092K->511876K(1165952K), 0.2569320 secs]
580.465: [GC 949316K->518124K(1161152K), 0.2578450 secs]
582.167: [GC 955564K->524404K(1152384K), 0.3194150 secs]
583.993: [GC 940212K->530396K(1151808K), 0.3291960 secs]
585.796: [GC 946204K->536324K(1135424K), 0.3740100 secs]
587.490: [GC 922564K->541964K(1133760K), 0.4136080 secs]
589.220: [GC 928204K->547540K(1118400K), 0.5162460 secs]
590.909: [GC 900372K->552636K(1111040K), 0.4718850 secs]
592.725: [GC 905468K->557748K(1101184K), 0.5028490 secs]
594.376: [GC 876276K->562356K(1071104K), 0.5256350 secs]
595.993: [GC 880884K->566948K(1108224K), 0.4728560 secs]
597.678: [GC 881252K->571444K(1051136K), 0.3802450 secs]
599.140: [GC 885748K->576044K(1107968K), 0.3431890 secs]
600.663: [GC 895532K->580564K(1102784K), 0.2863410 secs]
602.021: [GC 900052K->585132K(1111616K), 0.2635570 secs]
603.479: [GC 917036K->589764K(1108928K), 0.2397920 secs]
604.857: [GC 921668K->594812K(1120896K), 0.2222560 secs]
606.296: [GC 940604K->600188K(1119360K), 0.2320870 secs]
607.670: [GC 945980K->605140K(1125440K), 0.1612920 secs]
609.079: [GC 958228K->610164K(1124672K), 0.1301190 secs]
610.520: [GC 963252K->615548K(1127552K), 0.1497430 secs]
613.326: [GC 974460K->617044K(1127360K), 0.1303100 secs]
614.627: [GC 975956K->617060K(1130944K), 0.0647510 secs]
615.877: [GC 982564K->617028K(1130816K), 0.0598600 secs]
617.616: [GC 982532K->617060K(1133248K), 0.0408700 secs]
618.867: [GC 989476K->617028K(1133376K), 0.0578990 secs]
621.340: [GC 989444K->617028K(1137024K), 0.0665130 secs]
623.137: [GC 998596K->617028K(1137344K), 0.0409840 secs]
624.647: [GC 998596K->617028K(1142144K), 0.0468340 secs]
625.971: [GC 1009220K->617028K(1142464K), 0.0471130 secs]
627.435: [GC 1009220K->617060K(1147584K), 0.0580560 secs]
629.275: [GC 1020324K->617092K(1147904K), 0.0838980 secs]
